Date,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2018-01-01,4,-99,20,-10,-26,-1,-9,10,14,7,-6,-72,-13,6,-9,-12,-9,-8,-9,3,-21,4,-23,-48,-33,-14,-15,-33,-25,-22,-13,2,-30,-50,-22,-10,-1,-32,2,-2,-2,-17,-4,-31,2,-34,-9,-25,-14,3,-3,-7,-11,5,-8,-6,0,-14,-6,-61,-16
2018-01-02,-6,-60,26,-11,-13,-13,1,-41,10,13,-16,-71,-5,-19,-6,-12,-4,-6,-2,4,-22,-7,-23,-48,-22,-15,2,-22,-28,-24,-10,-40,-15,-35,-14,-14,-23,-29,-10,-6,-2,-12,-8,-20,11,-16,-8,-10,-38,0,-23,2,-8,11,1,4,3,-21,-11,-19,-15
2018-01-03,-35,-29,14,-13,-13,-2,7,-32,4,1,-11,-51,4,-19,-21,-15,2,-1,7,5,-14,-5,-35,-18,-21,-20,-13,-20,-19,-20,-7,-46,-6,-39,-17,-27,-32,-19,-27,-9,0,-9,-5,-18,-8,-17,-4,-12,-36,-4,-24,-1,-11,0,0,-23,11,-21,-20,-12,-12
2018-01-04,-16,-12,9,-3,-3,2,3,-25,11,5,-8,-31,2,-11,-22,-9,9,-1,-11,-3,-22,-73,-69,-12,-23,-20,-15,-28,-18,-15,-1,-27,-1,-18,-12,-25,-28,-15,-24,-5,0,-5,-19,-16,-2,-7,-22,-21,-26,-3,-24,10,-10,-2,-3,-9,9,-12,-38,-8,-9
2018-01-05,1,1,-17,-30,3,12,-6,-19,7,-4,-4,-19,2,-1,-17,-7,-15,0,-20,-6,-17,-71,-58,-13,-9,-2,-13,-22,-10,-6,3,-30,-50,-18,-1,-21,-24,-3,-23,-1,3,-8,-23,-26,-8,-8,-10,-15,-28,1,-22,-3,-8,0,-1,2,5,-11,-35,7,-12
2018-01-06,16,2,-44,-25,-9,14,6,-16,10,4,11,-26,-1,-6,-16,-5,-22,-4,-13,-2,-16,-41,-32,-11,-10,0,-5,-14,-15,-6,1,-36,-42,-20,-1,-19,-17,-15,-23,2,8,-10,1,-23,-2,6,-2,-20,-14,-12,-17,-19,-12,-2,1,2,11,-10,-27,-13,-19
2018-01-07,17,1,-34,-18,1,16,2,-13,13,3,-11,-22,2,0,-11,-4,-14,5,-35,-8,-14,-30,-37,-6,-8,-2,-4,-8,-6,-45,3,-45,-8,-13,3,-16,-15,-3,-21,3,-6,-46,-9,-23,-3,1,-7,-36,-16,-7,-16,-22,-6,2,-27,-3,9,-9,-43,-10,-16
2018-01-08,2,3,-28,-7,-31,9,-3,-5,-7,2,-97,-14,-10,2,-5,-6,-14,4,-16,-6,-5,-15,-54,-8,-7,-5,-1,-7,-2,-31,-1,-31,-10,-8,-2,-29,-21,-2,-13,-2,-2,-13,-13,-14,-1,-14,3,-16,-56,-9,-9,-20,-2,0,-13,-4,7,-11,-39,-10,-19
2018-01-09,-12,2,-44,0,-54,10,8,-6,-3,2,-42,-8,-9,-1,3,-8,-9,11,-18,-1,-2,-25,-22,-5,-8,-1,-15,6,-35,-21,-8,-26,-28,-28,6,-19,-19,8,-16,0,0,-13,-20,-5,-13,-4,2,-17,-24,-3,-7,-21,-5,3,-12,1,1,-12,-28,-5,-18
2018-01-10,-30,-17,-80,-26,-35,-34,3,-13,1,-2,-30,-10,-4,4,5,-11,-17,-3,-16,-40,2,-39,-19,-4,10,14,-126,4,-27,-24,-5,-16,-23,-35,2,-26,-15,13,-8,1,-34,-15,-14,-1,0,-17,-2,-24,-17,2,-14,-13,-7,7,-11,-1,1,-5,-18,-2,-16
2018-01-11,-29,-1,-52,-42,-22,-36,12,-11,1,4,-23,-5,1,4,-7,-29,-15,0,-14,-75,-5,-27,-10,-9,-21,11,-37,-16,-20,-11,4,-2,-42,-29,-1,-59,-23,2,-27,0,-11,-4,-13,-19,-6,-43,-18,-21,-18,4,-15,-13,-9,4,-13,1,10,-2,-22,-8,-12
2018-01-12,-5,-7,-22,-29,-6,-22,5,-10,7,6,-21,-23,-8,2,-6,-18,-18,2,-2,-46,-25,-17,-6,-8,-20,10,-28,-9,-21,-6,-1,-11,-71,-27,2,-42,-28,-28,-12,-5,-17,-7,-4,-46,-19,-32,-19,-17,-36,5,-21,-7,-5,-1,-5,9,4,-11,-19,-13,-6
2018-01-13,4,-5,-12,-23,-14,-13,-4,-6,-7,12,-5,-25,-2,2,6,-8,-13,5,-18,-30,-16,-16,-9,-25,-14,24,-23,0,-20,1,0,-20,-45,-19,-18,-55,-12,-19,-11,-53,-20,-5,-39,-24,-2,-20,-7,-14,-24,3,-13,-23,2,-5,-11,5,1,-9,-13,-13,-2
2018-01-14,8,-13,6,-29,-9,-7,-16,-3,1,14,-110,-25,-5,-2,-14,-1,-12,12,-28,-24,-20,-17,-15,-33,-14,29,-22,-7,-19,1,2,-29,-34,-9,-1,-20,-25,-21,-10,-33,-15,-5,-68,-17,-8,-15,-10,-16,-21,5,-5,-18,-10,-7,-16,0,-13,-12,-12,-10,0
2018-01-15,6,-25,-13,-66,-9,-12,-19,4,5,9,-51,-26,-10,8,-20,-19,-6,1,-20,-16,-22,-9,-21,-15,-5,9,-20,0,-16,1,4,-99,-61,-2,-8,-30,-16,-25,-6,-32,-6,-1,-43,-12,-13,-14,-7,-20,-28,3,-18,-15,-13,-3,-8,5,-9,-12,-7,-12,2
2018-01-16,1,-14,-11,-36,-18,-7,-20,-11,5,10,-39,-23,-6,-29,-11,-36,-8,-9,-24,-13,-15,-19,-24,-22,-6,-7,-33,0,-17,-5,-2,-48,-75,2,-6,-22,-8,-23,-21,-23,-9,-3,-27,-12,-6,-6,-5,-27,-10,-3,-16,-15,-9,-2,-2,-2,-1,-4,-8,2,4
2018-01-17,5,-22,-21,-11,-11,-9,-17,-18,4,15,-24,-14,-18,-33,-3,-27,-2,-4,-23,-17,-11,-22,-13,-8,1,-10,-31,-1,-15,7,2,-38,-56,-12,-8,-21,-16,-29,-48,-20,0,-16,-15,-5,4,-2,-3,-22,-38,-7,-28,-11,-8,0,-4,-9,-2,-1,-9,0,3
2018-01-18,10,-52,-13,-15,-7,1,-14,-13,5,21,-12,-12,-15,-15,-4,-25,4,-5,-21,-19,-14,-22,-16,-7,-1,-7,-34,7,-7,-9,-6,-30,-41,-7,-13,-16,-8,-24,-67,-19,-4,-16,-13,-1,4,-5,1,-19,-66,-6,-26,-16,-4,4,3,-4,-11,-3,-2,2,-4
2018-01-19,11,-36,-10,-20,-23,-5,-21,-9,7,7,-13,-10,-10,-2,-15,-17,14,-8,-14,-4,-8,-14,-31,1,8,-12,-27,-12,-3,-9,0,-28,-27,7,-11,-8,-5,-29,-30,-13,-11,7,-20,6,7,3,-17,-17,-64,-5,-25,-16,-6,3,-6,0,-13,6,0,1,-18
2018-01-20,13,-16,-1,-4,-56,-14,-15,-6,11,2,-29,-13,-7,-5,-29,-19,-38,-9,-10,5,-11,-6,-24,2,7,2,-26,-7,-5,-17,-13,-23,-36,-4,-4,-27,-17,-19,-16,-20,-10,-4,-14,-3,-1,-13,-20,-26,-41,-3,-19,-12,-8,-3,-6,2,-21,-1,3,-46,-13
2018-01-21,-45,-50,6,-39,-40,-3,-8,-1,6,-7,-31,-16,-4,-1,-18,-37,-43,-11,-11,-10,-9,0,-15,2,10,18,-15,-4,-9,-34,-16,-20,-71,-24,-4,-12,-17,-17,-12,-11,-19,-5,-18,1,-25,-11,-17,-20,-30,-5,-18,-13,-6,-24,-4,1,-12,1,14,-42,-11
2018-01-22,-140,-31,19,-38,-32,-6,-4,-1,-4,-6,-14,-6,-1,-1,-10,-45,-14,2,-9,-14,-9,4,-15,9,11,-25,-15,-5,-4,-34,-9,-17,-44,-28,12,-19,-8,-13,-8,-8,-14,2,-19,-13,-25,-6,-15,-51,-73,0,-12,-11,-3,-13,-2,-8,-4,-12,-9,-26,-14
2018-01-23,-82,-34,22,-31,-18,0,0,8,1,-14,-4,-7,5,0,-14,-50,-14,3,-4,-15,3,3,-46,2,-3,-15,-5,5,-31,-21,-13,-13,-32,-24,11,-3,-6,-4,-11,-6,-4,-3,-27,-64,-13,-10,-20,-67,-40,-9,-12,-4,1,-14,-2,-48,2,-10,-6,-18,-9
2018-01-24,-50,-14,15,-25,-17,6,-1,-5,3,-6,-3,-6,-5,-5,-10,-34,-16,12,-8,-15,-2,0,-51,2,-8,-12,-15,10,-21,-20,-13,-11,-23,-34,-9,5,-6,-2,-8,-4,2,5,-39,-42,-35,-13,-20,-38,-26,-6,-8,-6,1,-18,2,-29,1,-5,-5,-6,-9
2018-01-25,-63,-19,8,-15,-20,13,-15,-4,11,-3,4,-6,-33,-2,-17,-32,-15,-22,-1,-15,-3,-1,-46,7,-6,-12,-23,8,-6,-11,-9,-16,-18,-38,-1,-4,-7,-6,-5,-5,-5,-4,-31,-30,-28,-9,-32,-65,-20,-1,-5,-10,4,-10,-7,-42,11,-10,1,-5,-3
2018-01-26,-36,-33,-32,-12,-15,1,-6,-11,13,-5,0,-6,-19,-1,-3,-23,-15,-30,3,-8,-11,-17,-45,7,-5,-1,-20,-18,2,-21,-7,-15,-15,-27,-29,16,-36,-10,0,-7,-9,-4,-16,-17,-27,-23,-15,-38,-14,-25,-8,-12,-5,-7,-3,-31,-26,-16,-13,6,-4
2018-01-27,-27,-16,-15,-8,-14,-6,2,-5,11,-5,11,-12,-27,0,-42,-24,-22,-24,-1,-5,-2,-14,-47,-20,-12,-1,-16,-11,-11,-21,-8,-23,-16,-14,-12,-26,-23,-17,2,-11,-22,-7,-27,3,-17,-18,-5,-29,0,-18,-5,-8,-10,-2,-5,-23,-25,-6,-9,9,-17
2018-01-28,-19,-1,-12,-2,-14,-5,5,7,7,10,-11,-24,-17,10,-69,-33,-27,-16,-10,-1,-5,2,-30,-36,-17,-14,-19,-6,-67,-24,-7,-9,-16,5,-8,-29,-16,-20,9,-6,-27,4,-13,-30,-2,-9,-11,-19,-3,-14,-3,-9,-6,-2,1,-13,-14,-7,-6,-3,-10
2018-01-29,-34,-5,-4,5,-14,-2,9,-15,4,9,0,-28,-10,5,-41,-30,-24,-16,2,-3,-26,-28,-24,-51,-16,1,-18,-6,-59,-19,-16,-6,-16,-26,0,-23,-9,-12,-16,-21,-24,0,-8,-27,-17,-9,-14,-14,-7,-9,-15,-8,-6,-4,1,-16,-6,-9,-3,-2,-9
2018-01-30,-63,13,-10,6,-7,-3,-23,-11,3,7,-5,-23,-5,5,-31,-21,-23,-14,6,-2,-50,-46,-23,-31,-10,-26,-19,-20,-33,-17,-4,-3,-16,-33,0,-29,-6,-14,-42,-17,-20,-38,-7,-20,-10,-1,-38,-11,-17,-6,-33,-5,-4,0,1,-10,-4,-10,-12,4,-1
2018-01-31,-39,4,-14,13,-1,2,-66,-8,9,3,1,-10,-10,-3,-22,-16,-12,-11,1,-16,-45,-49,-22,-20,-27,-33,-22,-15,-22,-14,-5,-1,-31,-37,2,-29,-50,-12,-35,-15,-17,-20,-7,-14,-23,-4,-35,-11,-18,2,-26,0,-3,-7,15,-6,5,-4,-12,-14,-11
2018-02-01,-25,9,-14,5,2,16,-35,-15,7,7,-4,-7,-7,4,-23,-11,-22,-11,-23,-15,-15,-29,-24,-12,-17,-63,-22,-12,-23,-7,-2,5,-50,-32,-28,-30,-50,-7,-27,-12,-12,-8,-2,-7,-26,-18,-25,-11,-18,0,-23,-20,-9,-8,-8,-4,3,6,-9,-28,-23
